Query Term,Normalized Query Term,Tweet ID
asshоle,asshole,1599534025848553472
asshоle,asshole,1595905192461217793
asshоle,asshole,1595023320835330048
asshоle,asshole,1594498622288285697
asshоle,asshole,1589724393764425728
asshоle,asshole,1587052189310222336
asshоle,asshole,1585257027890450432
asshоle,asshole,1584617930888646656
asshоle,asshole,1584117780588023808
asshоle,asshole,1583539416869412864
asshоle,asshole,1582742206267658240
asshоle,asshole,1582023536817758208
asshоle,asshole,1578153457164308481
asshоle,asshole,1575647177811951616
asshоle,asshole,1570614381515509761
asshоle,asshole,1570227970744385539
asshоle,asshole,1567500219255857152
asshоle,asshole,1567332718744313857
asshоle,asshole,1567175512086413314
asshоle,asshole,1562525025411801089
asshоle,asshole,1562507055214120965
asshоle,asshole,1556182813266919424
asshоle,asshole,1544030807982911488
asshоle,asshole,1537398429797580800
asshоle,asshole,1536357397190651913
asshоle,asshole,1532928843366940672
asshоle,asshole,1531036458747842561
asshоle,asshole,1530550332849364994
asshоle,asshole,1525384753133723648
asshоle,asshole,1504146527513628678
asshоle,asshole,1495010615601115146
asshоle,asshole,1489592745433915392
asshоle,asshole,1481536610042847232
asshоle,asshole,1478114274006417414
asshоle,asshole,1476565893115170818
asshоle,asshole,1465169983844016133
asshоle,asshole,1453358083606913024
asshоle,asshole,1453146831194505216
asshоle,asshole,1453096410128191489
asshоle,asshole,1449095213650173963
asshоle,asshole,1446183818440974343
asshоle,asshole,1438108294674059270
asshоle,asshole,1418254819278659588
asshоle,asshole,1409606076568412163
asshоle,asshole,1393900829418065922
asshоle,asshole,1391096422100045827
asshоle,asshole,1356865847038476290
asshоle,asshole,1332724534915571714
asshоle,asshole,1332695422134005762
asshоle,asshole,1322512728410509314
asshоle,asshole,1319974849649897473
asshоle,asshole,1319722711107686400
asshоle,asshole,1317608478098292736
asshоle,asshole,1317593451706404864
asshоle,asshole,1317432026874761217
asshоle,asshole,1316743414256463873
asshоle,asshole,1316137621970653191
asshоle,asshole,1294330401775915010
asshоle,asshole,1285630539316301824
asshоle,asshole,1281511804947103744
asshоle,asshole,1267465191094132738
asshоle,asshole,1264250693059325955
asshоle,asshole,1236182576982683648
asshоle,asshole,1203258407853207552
asshоle,asshole,1198631568505548801
asshоle,asshole,1191450876994637824
asshоle,asshole,1190764967026409473
asshоle,asshole,992438003267178497
asshоle,asshole,985671213719670784
asshоle,asshole,971505498720735233
asshоle,asshole,963135020411047936
asshоle,asshole,902551110937972737
asshоle,asshole,902523324890308608
asshоle,asshole,902048809496301570
asshоle,asshole,901877995861880832
asshоle,asshole,901860048183451650
asshоle,asshole,901825899246493696
asshоle,asshole,886710874420989952
asshоle,asshole,796324263301103617
asshоle,asshole,772203092158873600
asshоle,asshole,772097297350008832
asshоle,asshole,743535469594542080
asshоle,asshole,743381507209859072
asshоle,asshole,743191659484184576
asshоle,asshole,741979166128623616
asshоle,asshole,741976325112668160
asshоle,asshole,741739705616740355
asshоle,asshole,727279154115137536
asshоle,asshole,727279066806665220
asshоle,asshole,724671478524829696
asshоle,asshole,724671445838770176
asshоle,asshole,259348964510429184
asshоle,asshole,259112779309535233
asshоle,asshole,258737306159169537
asshоle,asshole,258250653175013376
asshоle,asshole,258204973643472896
asshоle,asshole,258197361577312256
asshоle,asshole,258131563827576833
asshоle,asshole,258104734278356992
asshоle,asshole,257812355482800128
asshоle,asshole,257581306572066817
asshоle,asshole,257554906414731264
asshоle,asshole,253127105263591424
